Naslov,Opis,Cena
Podarim črno muco staro mesec in pol,"Oddam mlado črno razigrano muco, ki je navajena na ljudi in se pusti božati. Je vse. Rojena 15.8.2016 Okolica Celja 031 864 066",Podarim
Mlada Oranžka,"MLADA, CRKLJIVA ORANŽKA IŠČE DOM! Na lokaciji prostoživečk se je pojavila očitno zavržena mlada oranžna muca, za katero bi radi našli domek, saj je izredno",Podarim
Maine coon,zaradi pomanjkanja časa in prostora prodam 2 maine coona mačko in mačka.. želim da gresta oba skupaj v novi dom. stara sta 2 leti in 6 mesecev sta sterilizirana,"500,00 €"
Oddam mlade mucke,"Oddam mlade mucke, so zdravi in razigrani. Sedaj so stari 9 tednov, že jejo brikete in meso... Po zakonu jih lahko oddam z dopolnjenim dvanajstim tednom",Podarim
Himalajka eksota mladički,Samček in samička razglistena cepljena vetrinarsko pregledana negovana.Oba starsa sta prisotna.Želimo si odgovorne nove lastnke.068 121 385,"220,00 €"
Črna lepotička PEARL cepljena in sterilizirana,"Pearl je prijazna in crkljiva muca stara cca. 10 mesecev, za katero iščemo notranje-zunanji dom stran od prometnih cest, v varnem okolju. Je testirana",Podarim
Mala mucka LISA cepljena in sterilizirana,"Lisa je približno 3 mesece strara tigrasta mucka, cepljena, čipirana, testirana na mačje bolezni (negativna) in bo ob odhodu v nov dom tudi sterilizirana.",Podarim
Mucek Garfield,"Podarimo oranžnega mucka Garfielda, starega približno 4 mesece. Navajen je notranjega bivanja, veterinarsko pregledan in zdrav. Več informacij: 070 326",Podarim
Mucka Tom in Jerry,"Podarimo približno 4 mesece stara mucka Toma in Jerry-ja. Ker sta zelo navezana drug na drugega, iščeta skupen dom. Sta zelo prijazna in igriva, navajena",Podarim
Muca Rozi,"Podarimo zelo prijazno muco Rozi, staro približno leto in pol. Je mirna in obožuje crkljanje. Je zdrava in sterilizirana. Išče notranji dom. Več informacij:",Podarim
Podarim muco,Pozdravljeni vsi kateri bi radi imeli muco za hišnega ljubljenčka. Podarim zelo priljubljeneno muco ki je moškega spola.Zelo rad se igra in je navajen,Podarim
Bella,"Podarimo čudovito belo muco Bello, staro približno leto in pol. Je zelo prijazna, obožuje božanje, dobro se razume z drugimi mački. Išče notranji dom.",Podarim
Pikec in Pokec,"Podarimo črna mucka Pikca in Pokca, stara 4 mesece. Ker sta zelo navezana drug na drugega, iščeta skupen dom. Sta veterinarsko pregledana, zdrava, brez",Podarim
Oddamo muce,"Oddamo 2 muci, ki sta navajeni na psa, zelo cartljivi, privajata pa se tudi na wc pesek.",Podarim
RAGDOLL mladiči,"Za v nov dom bosta kmalu pripravljena samička in en samček pasme RAGDOLL.Mladička bosta do odhoda večkrat razglistena, navajena na mačji wc, socializirana,","290,00 €"
BRITANKA (BRITANSKA MAČKA) mladički,"Dve mali mucki sta se tri mesece nazaj skotili naši BRITANKI. Njun oče je na žalost, ali pa na veselje sosedov mačkon ki je izkoristil trenutek naše nepazljivosti,","60,00 €"
Sijamski Thai Mačići,"Za prodajo, leglo siamskih mačk Thai modra točka, 14.06.2016. Mati CHITA, Thai chocolate point. Mladički bodo lahko novi lastniki šele po opravljenem 12","250,00 €"
Sijamski Thai Mačić,"Za prodajo, leglo siamskih mačk Thai modra točka, 2016/05/05. Mati SIA, Thai chocolate point točka. Mladički bodo lahko novi lastniki šele po opravljenem","200,00 €"
Prodam kratkodlako Britansko macko,"Prodam eno leto in pol starega macka.Vajen je na notranje bivanje in tudi na macji wc. Je zelo cist, navajen na majhne otroke in zelo igriv. Je kastriran,","200,00 €"
Ragdoll muce mešanci,"Prodam muce so mešanke, mama je ragdoll. O51755261","70,00 €"
PODARIM MLADE MAČKE,"Skrbnemu lastniku podarim 3 mlade muce, okolica Ptuja. ************* Informacije na 041 792 521.",Podarim
Britanka britanska mačka,V sredini oktobra bodo naše male britanke dopolnile 3 mesece. Takrat lahko gredo v nove domove. Na razpolago imamo 1 punčko in 2 fantka srebrno osenčene.,"350,00 €"
Exot (kratkodlaka perzijka),"Na voljo mladička pasme exot, kratkodlaka perzijka. Oranžen mačkon Okec in želvovinasta mucka Sovica. Okec je razigran, nežen in cartljiv mačkon. Sovica",Po dogovoru
Podarim dolgodlake in kratkodlake muce NUJNO,Nasa Bela in Siva sta nas letos znova presenetili z majhnimi kepicami nepricakovano.Mucki so sedaj stari 6 tednov in ze pridno jedo uporabljajo macje stranisce,Podarim
MUCKA IŠČETA DOM,"NUJNO iščeta dom dva mala nagajiva mucka, ki sta navajena bivanja v hiši in tudi zunaj, sta veterinarsko pregledana, navajena bližine psov in ljudi. Dom",Podarim
Podarimo malega mucka in malo mucko,"Igrivi mucek in ljubka mucka iščeta topel in varen dom. Stara sta tri mesec in tri tedne. Navajena sta že notranjega življenja, tako da nimata problema",Podarim
oddamo mlada mucka,"Prikupna mucka Felix in Flek sta stara okrog 4 mesece. Pravih lastnikov nimata, živita zunaj, a jih redno hranimo. Pri hrani nista izbirčna. Hvaležna bosta",Podarim
"Oddamo mucko: NAL, samček","Datum prihoda: 13.09.2016 NAL Spol: samček Starost ob prihodu: 3 mesece Kontakt: info@macjahisa.si, 040 937 959 Nal je radoveden, prijazen muc, po začetni																				</div>",Podarim
"Oddamo mucko: KAN, samček","Datum prihoda: 13.09.2016 KAN Spol: samček Starost ob prihodu: 3 mesece Kontakt: info@macjahisa.si, 040 937 959 Kan je prijazen, prijeten muc, do neznanih																				</div>",Podarim
Mlade mucke in odrasle mačke,"Zaradi bolezni soseda pomagam oddajati mlade mucke od treh mesecev dalje. Odda tudi starejše samice in samce, različnih barv. Samo v dobre roke! ! ! Vse",Podarim
muc Lan,"Prelep in nežen pogled, skrbno negovan kožušček in dolgi beli brkci. To je super muc LAN, s čudovitim karakterjem. V družbo se vklopi brez problemov, je",Po dogovoru
muca Lina,"Prijazna, nežna, z izredno mehkim črno belim kožuščkom in prelepimi očmi. To je LINA. Pridna mucka, tiha, ljubezniva, predvsem pa se rada stisne v naročje.",Po dogovoru
Filip in Maks,"Filip in Maks sta bratca ki iščeta po možnosti skupen, topel dom. Odrasla, dokaj mirna mačkona, ki sta sprva nekoliko sramežljiva, ko pa spoznata novo",Po dogovoru
Mladi muci,"Podarimo dve mali muci. Obe muci sta tigrasti. Ena ima malo daljšo dlako. Muce so stare 3 mesece, so razgliščene in dobile ampulo proti bolham. Informacije",Podarim
Kupim mačko donsfing,Kupim mlado macko don sfing. Kontakt na 040336750,Kupim
Mucek,Dom išče samček star 2 meseca. Mama ga je naučila lepega vedenja in uporabo mačjega wc-ja. Vajen pasje družbe. Trenutno živi v stanovanju vendar se ne,Po dogovoru
podarim muco,Ljubiteljem živali podarim skoraj tri mesece staro muco. Navajena je mačjega stranišča in pasje družbe. Za več inf. pokličite na 031534097 ( po 16.00 ),Podarim
podarim muco,Podarim muco staro skoraj tri mesece. Navajena je mačjega stranišča in pasje družbe. Podari jo ljubiteljem živali. Za več inf. pokličite na 031534097 (,Podarim
Mucka Maca,"Pomagamo pri oddaji – mucka MACA Prijazna muca, sterilizirana in zdrava, išče skrben in varen dom, kjer ji bodo omogočili varne zunanje izhode. Če bi ji",Po dogovoru
Igrivi Iggy išče dom z varnimi izhodi v okolje (DZZŽ Kranj),"Črno beli Iggy je bil skupaj z dvema mladičkoma in mucko Indio najden na območju Besnice, kjer je že dolga leta odlagališče živali. Po karakterju je crkljiv,",Po dogovoru
